dataset,refine,method,n,coverage_%,bias,SD,MAE,median_AE,p90_AE,corr,IEC
ISP internal,none,beatssl,94,100.0,-8.57,28.3,12.82,7.93,23.24,0.55,PASS
ISP internal,none,unet,93,98.94,-10.8,31.9,14.49,7.74,22.97,0.48,FAIL
ISP internal,none,physiowave,94,100.0,-9.96,28.81,17.92,9.72,40.1,0.52,PASS
ISP internal,none,qtcnet,94,100.0,-21.81,26.26,26.15,21.86,43.03,0.55,PASS
ISP internal,none,cwt,86,91.49,-1.04,50.13,26.41,17.7,45.61,0.55,FAIL
ISP internal,none,dwt,94,100.0,11.77,50.45,37.0,29.29,64.22,0.26,FAIL
